,author :,title :,journal :,year :
112,"B. Mitrovic', F.P. Koffyberg, F.S. Razavi, P.N. Arberg,",SUPERCONDUCTNG AND NORMAL STATEPROPERTIES OF Sr0.5La1.85CuO4 DETERMINED FROM MAGNETIZATION MEASUREMENTS,"Solid State Commun.,65(1988)849-853",1988.0
114,"J.A.A.J.PERENBOOM, L.E.C.VAN DE LEEMPUT, L.W.M.SCHREURS, P.A.A.TEUNISSEN, P.J.M.VAN BENTUM.H.VAN KEMPEN,",HIGH-FIELD MEASUREMENTS ON THE HIGH-TC SUPERCONDUCTORS LA(1.85)SR(0.15)CU(1)O(4-Z) AND Y(1)BA(2)CU(3)O(7-Z),"PHYS.REV.B,36(1987)5279",1987.0
115,"C.PAULSEN, J.L.THOLENCE, P.STROBEL,",SUPERCONDUCTING PROPERTIES OF SUBSTITUTED Y(1)BA(2)CU(3(1-X))M(3X)O(7-Z),"SOLID STATE COMMUN.,65(1988)585",1988.0
126,"A.H. MORRISH, Q.A. PANKHURST, X.Z. ZHOU,",A MOSSBAUER STUDY OF YBa2(Cu1-xFex)3O7-delta,"Phys.Lett.A,127(1988)231",1988.0
132,"ANN L.SANDKUHL, D.E.FARRELL, NAROTTAM P.BANSAL,",EFFECT OF FLUORIDE DOPING ON THE TRANSITION TEMPERATURE OF Y(1)BA(2)CU(3)O(6.5+Z),"APPL.PHYS.LETT.,52(1988)838",1988.0
133,"G. Collin, H. Rakoto, J.C. Ousset, J.M. Broto, M. Oussena, S. Askenazy, S. Snoussi,",Longitudinal and transverse magnetoresistances of YBa2cu3O7 in very high field up to 430 kG,"Phys.Rev.B,36(1987)4014",1987.0
134,"D.JEROME, H.J.SCHULZ, J.M.BASSAT, PH.ODIER, S.S.P.PARKIN, W.KANG,",EFFECTS OF NI-TO-CU SUBSTITUTION ON THE PROPERTIES OF THE HIGH-TC SUPERCONDUCTOR LA(1.85)SR(0.15)CU(1)O(4-Y),"PHYS.REV.B,37(1988)5132",1988.0
142,"AYAKO TOKIWA, FUMIO CHIDA, MASAE KIKUCHI, NORITAKA KURODA, YOSHIRO SASAKI, YUICHIRO NISHINA,",FAR-INFRARED ABSORPTION BY SMALL PARTICLES OF YBA2CU3O6.74,"J.PHYS.SOC.JAPAN,56(1987)3797",1987.0
143,"G.W.HULL, J.M.TARASCON, L.H.GREENE, M.EIBSCHUTZ, P.BARBOUX, P.F.MICELI, S.A.SUNSHINE,",STRUCTURAL AND PHYSICAL PROPERTIES OF THE METAL (M) SUBSTITUTED Y(1)BA(2)CU(3-X)M(X)O(7-Y) PEROVSKITE,"PHYS.REV.B,37(1988)7458",1988.0
165,"J. T. Marked, C. L. Seaman, H. Zhou, M. B. Maple,",SUPERCONDUCTIVITY IN La2-xNaxCuO4-y,"Solid State Commun., 66(1988)387",1988.0
167,"E.MORAN, F.MIGUELEZ, FELIX VIDAL, J.A.VEIRA, J.MAZA, M.A.ALARIO,",PROBING THERMODYNAMIC FLUCTUATIONS IN HIGH TEMPERATURE SUPERCONDUCTORS,"SOLID STATE COMMUN.,66(1988)421",1988.0
171,"B.SUNDGVIST,",ELECTRICAL RESISTANCE OF Y(1)BA(2)CU(3)O(7-Z) IN THE RANGE 300-500 K AND 0-1.5 GPA,"SOLID STATE COMMUN.,66(1988)623",1988.0
172,"J.G. Perez-Ramirez, K. Baberschke, W.G. Clark,","MEISSNER EFFECT, CRITICAL FIELDS, AND SUPERCONDUCTING PARAMETERS OF YBa2Cu3O7-delta",Solid State Cmmun.65(1988)845-848,1988.0
173,"G. Quirion, J.P. Thiel, K.R. Poeppelmeier, M. Poirier,",Microwave study of the high-Tc superconductor La1.8Sr0.2CuO4,"Phys.Rev.B,36(1987)3906",1987.0
174,"J. Taguna-Marti'nez, L. Rendo'n, R. Escudero, R.A. Barrio, T. Akachi,",Electron tunneling in the high-Tc superconductor Y-Ba-Cu-O,"Phys.Rev.B,36(1987)3910",1987.0
175,"C.L. Chien, Gang Xiao, H. Tang, J.C. Walker, Y.-w. Du, Z.Q. Qiu,",Magnetic ordering in GdBa2(Cu0.94Fe0.06)3O9-delta below the superconducting transition temperature,"Phys.Rev.B,36(1987)4018",19987.0
176,"J.BASZYNSKI, M.MACKOWIAK, M.ZDANOWSKA-FRACZEK,",EFFECT OF PRESSURE ON THE SUPERCONDUCTING TRANSITION TEMPERATURE OF THE (Y1.2BA0.8)4CU4O16-Z CERAMIC COMPOUND,"PHYS.LETT.A,126(1987)130",1987.0
177,"AKIO OOTA, MASATAKA OHKUBO, TATSUMI HIOKI, YOSHINOBU SASAKI, YOSHIO KIYOSHIMA,","ELECTRICAL,MAGNETIC AND SUPERCONDUCTING PROPERTIES OF THE HIGH-TC SUPERCONDUCTOR ER(1-X)YB(X)BA(2)CU(3)O(7-Z)","JJAP.LETT.,26(1987)L2091",1987.0
184,"A.NAZZAL, J.B.TORRANCE, S.S.P.PARKIN, Y.TOKURA,","METALLIC,BUT NOT SUPERCONDUCTING,LA-BA(AND LA-SR) COPPER OXIDES","PHYS.REV.LETT.,60(1988)542",1988.0
185,"KATSUKI MIYAUCHI, MASAHIKO HIRATANI, TETSUICHI KUDO, YUKIO ITO,",TETRAGONAL HIGH-TC SUPERCONDUCTOR IN THE SYSTEM BA(2)Y(CU(1-X)GA(X))(3)O(7-Z),"JJAP.LETT.,26(1987)L1997",1987.0
189,"B.DUNN, C.T.CHU, G.GRUNER, J.R.COOPER, L.W.ZHOU,",DETERMINATION OF THE MAGNETIC FIELD PENETRATION DEPTH IN SUPERCONDUCTING YTTRIUM BARIUM COPPER OXIDE: DEVIATIONS FROM THE BARDEEN-COOPER-SCHRIEFFER LAWS,"PHYS.REV.B,37(1988)638",1988.0
190,"MASATSUN.KATO, TOSHIZO FUJITA, YOSHITERU MAENO, YUJI AOKI,",SUPERCONDUCTIVITY IN IMPURITY-INDUCED TETRAGONAL Y(1)BA(2)(CU(1-X)FE(X))(3)O(7-Z),"JJAP.LETT.,26(1987)L1982",1987.0
191,"HIROYUKI AKINAGA, KOHZOH MASUDA, KOKI TAKITA,",UPPER CRITICAL FIELD AND ITS ANISOTROPY OF EU(1)BA(2)CU(3)O(7-X) AND GD(1)BA(2)CU(3)O(7-X) STUDIED IN PREFERENTIALLY ORIENTED PELLETS,"JJAP.LETT.,26(1987)L2034",1987.0
193,"HARUHISA TOYODA, HIROSHI FUJITA, ICHIRO NAKAD, KOHICHI UEDA, KUNISUKE ASAYAMA, TAKAO KOHARA, TETUYUKI KANEKO, YASUKAGE ODA, YOSHIHIRO YAMADA,",EXPERIMENTS ON SUPERCONEDUCTING (RARE EARTH)-BA(2)CU(3)O(7-Z) DOWN TO 30 MK,"JJAP.LETT.,26(1987)L1956",1987.0
202,"JIRO KUNIYA, KATSUHISA USAMI, SHIN-PEI MATSUDA, TAKAHIKO KATO,",EFFECTS OF HYDROGEN ION IMPLANTATION ON SUPERCONDUCTIVITY IN Y(1)BA(2)CU(3)O(7-X),"JJAP.LETT.,27(1988)L1104",1988.0
204,"G.F. Brennert, G.P. Espinosa, J.P. Remeika, Jr., R.E. Walstedt, W.W. Warren,",Evidence for Two Pairing Energies from Nuclear Spin-Lattice Relaxation in Superconducting Ba2YCu3O7-delta,Phys.Rev.Lett.59(1987)1860,1987.0
205,,,,
206,"R.A.FASTNACHT, R.C.SHERWOOD, S.JIN, T.H.TIEFEL,","TRANSPORT CRITICAL CURRENT IN RARE-EARTH-SUBSTITUTED SUPERCONDUCTORS R(1)BA(2)CU(3)O(7-Z)(R=GD,DY,SM,HO,Y)","PHYS.REV.B,37(1988)5828",1988.0
211,"B.BARBARA, I.FELNER,",EFFECT OF SULFUR ON THE SUPERCONDUCTIVITY OF R(1)BA(2)CU(3)O(7),"PHYS.REV.B,37(1988)5820",1988.0
218,"HIDEO TANIGAWA, ICHIRO MATSUBARA, SABURO KOSE, TORU OGURA,",EFFECTS OF SULFUR ADDITION ON THE SUPERCONDUCTIVITY OF Y-BA-CU-O COMPOUND,"JJAP.LETT.,27(1988)L1080",1988.0
222,"SHINYA WAKI, YUJI YAMAGUCHI,","MAGNETIC PROPERTIES OF GD(1)BA(2)CU(2.7)M(0.3)O(Y) (M=CU,FE AND CO): MAGNETIC ORDERING OF M IN CU(1) SITE","JJAP.LETT.,27(1988)L1307",1988.0
225,"G.V.SUBBA RAO, K.S.GIRIRAJAN, R.SRINIVASAN, V.GANESAN, VIJAYASHREE RADHAKRISHNAN,",ANOMALOUS VARIATION OF THE C LATTICE PARAMETER OF A SAMPLE OF Y(1)BA(2)CU(3)O(7-Z) THROUGH THE SUPERCONDUCTING TRANSITION,"PHYS.REV.B,38(1988)889",1988.0
226,"B.BATLOGG, D.W.MURPHY, J.H.MARSHALL, J.J.KRAJEWSKI, J.V.WASZCZAK, JR., L.F.SCHNEEMEYER, L.W.RUPP, P.MARSH, R.B.VAN DOVER, R.FARROW, R.J.CAVA, R.M.FLEMING, S.A.SUNSHINE, S.H.GLARUM, S.M.ZAHURAK, S.NAKAHARA, T.SIEGRIST, W.F.PECK,",STRUCTURE AND PHYSICAL PROPERTIES OF SINGLE CRYSTALS OF THE 84-K SUPERCONDUCTOR BI(2.2)SR(2)CA(0.8)CU(2)O(8+Z),"PHYS.REV.B,38(1988)893",1988.0
228,"C.E.MEATS, J.R.GRASMEDER, M.T.WELLER, P.C.LANCHESTER,","SUPERCONDUCTIVITY IN THE SOLID SOLUTIONS Y(N)LA(2-N+X)BA(4-X)CU(6)O(14+Y) (N=0,1,2)","J.PHYS.F,18(1988)95",1988.0
247,"A.MANTHIRAM, J.B.GOODENOUGH, X.X.TANG,",EVIDENCE FOR PEROXIDE FORMATION IN SUPERCONDUCTING Y(1)BA(2-X)LA(X)CU(3)O(7+-Z),"PHYS.REV.B,37(1988)3734",1988.0
256,"F.J.ROTELLA, J.D.JORGENSEN, J.M.TARASCON, L.H.GREENE, P.BARBOUX, P.F.MICELI,",ROLE OF BOND LENGTHS IN THE 90-K SUPERCONDUCTOR: A NEUTRON POWDER-DIFFRACTION STUDY OF Y(1)BA(2)CU(3-X)CO(X)O(7-Y),"PHYS.REV.B,37(1988)5932",1988.0
257,"B.A.AVERILL, J.F.BRINGLEY, K.M.WONG, S.J.POON, T.-M.CHEN,","SYNTHESIS AND CHARACTERIZATION OF Y(1)BA(2)(CU(1-X)M(X))(3)O(7-Z) (M=CO,NI): CRYSTAL SYMMETRY,SUPERCONDUCTIVITY,AND THE ROLE OF OXYGEN","PHYS.REV.B,38(1988)2432",1988.0
267,"B.L.OLSON, M.W.SHAFER, T.PENNEY,",CORRELATION OF TC WITH HOLE CONCENTRATION IN LA(2-X)SR(X)CU(1)O(4-Z) SUPERCONDUCTORS,"PHYS.REV.B,36(1987)4047",1987.0
275,"D.R.NOAKES, E.J.ANSALDO, G.AEPPLI, G.M.LUKE, J.H.BREWER, R.F.KIEFL, R.J.CAVA, S.R.KREITZMAN,",MAGNETIC PENETRATION DEPTH AND FLUX-PINNING EFFECT IN HIGH-TC SUPERCONDUCTOR LA(1.85)SR(0.15)CU(1)O(4),"PHYS.REV.B,35(1987)7129",1987.0
277,"HIROSHI YAMAUCHI, KATSUYOSHI OH-ISHII, MASAE KIKUCHI, NORIO KOBAYASHI, TAKAAKI SASAOKA, TOMOKAZU MATSUHIRA, YASUHIKOSYONO, YOSHIO MUTO,","CRYTAL STRUCTIRE,OXYGEN CONTENT AND SUPERCONDUCTIVITY OF M(X)LA(2-X)CU(1)O(4-Y) (M=BA,SR AND CA)","JJAP LETT.,27(1988)L1449",1988.0
284,"A.J.BOURDILLON, C.C.SORRELL, H.K.LIU, J.P.ZHOU, N.SAVVIDES, S.X.DOU,",LABILE CU(3) IONS CORRELATED WITH SUPERCONDUCTING PROPERTIES IN Y(1)BA(2)CU(3)O(7-X),"SOLID STATE COMMUN.,68(1988)0221",1988.0
305,"B.S.CHANDRASEKHAR, D.E.FARRELL, J.R.CLEM.D.K.FINNEMORE, M.M.FANG, M.R.DEGUIRE, V.G.KOGAN,",SUPERCONDUCTING PROPERTIES OF ALIGNED CRYSTALLINE GRAINS OF Y(1)BA(2)CU(3)O(7-Z),"PHYS.REV.B,36(1987)4025",1987.0
306,"B.CHANCE, C.F.GALLO, G.BUNKER, K.ZHANG,",LOCAL STRUCTURE DISTORTION IN A Y(1)BA(2-0.52)SR(0.52)CU(3)O(7) SUPERCONDUCTOR,"PHYS.REV.B,39(1989)2788",1989.0
308,"MAKOTO KOBAYASHI, SATOSHI MARUYAMA, TAKAHIRO KODAMA,","OXYGEN CONTENT AND TRANSITION TEMPERATURE (TC) IN BA(2-X)LN(1+X)CU(3)O(7-Z) (LN=SM,EU)","JJAP LETT.,27(1988)L2274",1988.0
314,"DONGLU SHI,",PHASE TRANSFORMATIONS IN YBA(2)CU(3)O(7-Z),"PHYSICAL REVIEW B.,39(1989)4299",1989.0
317,"B.C.SALES, D.MCK.PAUL, H.A.MOOK, J.O.RAMEY, L.A.BOATNER, L.CUSSEN,",MAGNETIC ORDERING IN THE HIGH-TEMPERATURE SUPERCONDUCTOR ERBA(2-)CU(3)O(7-Z),"PHYS. REV. B.,39(1989)4291",1989.0
318,"ROBERT E.JOHNSON,",TUNNELING MEASUREMENTS ON BI(2)CASR(2)CU(2)O(8),"PHYS. REV. B.,39(1989)4693",1989.0
319,"B.MOROSIN, D.S.GINLEY, J.E.SCHIRBER,",EFFECT OF PRESSURE ON THE SUPERCONDUCTING TRANSITION TEMPERATURE OF BA(1-X)K(X)BI(1)O(3),"PHYSICA C,157(1989)237",1989.0
324,"B.LEONTIC, L.FORRO, M.PETRAVIC,",HALL-EFFECT OF THE HIGH TC SUPERCONDUCTORS Y-BA-CU-O AND GD-BA-CU-O,"SOLID STATE COMMUN.,65(1988)1355",1988.0
325,"A.T.FIORY, G.S.GRADER, P.K.GALLAGHER,",HALL COEFFICIENT AND OXYGEN STOICHIOMETRY IN Y(1)BA(2)CU(3)O(7-Z) CERAMICS AT ELEVATED TEMPERATURES,"PHYS.REV.B,38(1988)844",1988.0
326,"J.E.FISCHER, M.J.NAUGHTON, N.P.ONG, P.K.DAVIES, P.M.CHAIKIN, R.C.YU, R.V.CHAMBERLIN, T.W.JING, Z.Z.WANG,",ORIENTATIONAL ANISOTROPY OF THE UPPER CRITICAL FIELD IN SINGLE-CRYSTAL Y(1)BA(2)CU(3)O(7) AND BI(2.2)CA(1)SR(1.9)CU(2)O(8+X),"PHYS.REV.B,38(1988)9280",1988.0
328,"A.SCHENCK, B.HETTICH, B.HITTI, E.LIPPELT, F.N.GYGAX, H.MALETTA, M.WEBER, P.BIRRER,","MAGNETIC PENETRATION DEPTH IN BI(2)(SR,CA)(2)CUO(8-Z)","PHYSICA C ,158(1989)230",1989.0
329,"JIN RONG-YING, QI-ZE RAN, SHI FAN, SHI NI-CHENG, SHI ZHEN-HUA, ZHOU SHOU-ZENG,","THE SPECIFIC HEAT OF THE SINGLE-PHASE (BI,PB)(2)SR(2)CA(2)CU(3)O(10+Y) SUPERCONDUCTOR","PHYSICA C ,158(1989)255",1989.0
330,"C.NOBILI, E.GALLI, F.C.MATACOTTA, F.NAVA, G.OTTAVIANI, M.AFFRONTE, T.MANFREDINI,",OXYGEN IN-DIFFUSION PROCESSES IN TETRAGONAL YBA(2)CU(3)O(7-X)OXIDE,"PHYS.REV.B.,39(1989)9069",1989.0
