num :,element :,name :,str3 :,tc :,lata :,latb :,latc :,refno :,ma1 :,ma2 :,mb1 :,mb2 :,mc1 :,mc2 :,md1 :,md2 :,me1 :,me2 :,mf1 :,mf2 :,mg1 :,mg2 :,mh1 :,mh2 :,mi1 :,mi2 :,mo1 :,mo2 :,oz :,composition :
155467,Ce1Fe1As0.7P0.3F0.05O0.95,"CeFe(As,P)O0.95F0.05",oxypnictide,18.1,3.9826,,8.5376,PRB083054501,Ce,1.0,Fe,1.0,As,0.7,P,0.3,F,0.05,,,,,,,,,O,0.95,,Ce1.0Fe1.0As0.7P0.3F0.05O0.95
155468,Ce1Fe1As0.55P0.45F0.05O0.95,"CeFe(As,P)O0.95F0.05",oxypnictide,15.0,,,,PRB083054501,Ce,1.0,Fe,1.0,As,0.55,P,0.45,F,0.05,,,,,,,,,O,0.95,,Ce1.0Fe1.0As0.55P0.45F0.05O0.95
155474,Sm1Fe1As1H0.19O0.81,"SmFeAs(O,H)",oxypnictide,55.3,3.9183,,8.453,PRB084024521,Sm,1.0,Fe,1.0,As,1.0,H,0.19,,,,,,,,,,,O,0.81,,Sm1.0Fe1.0As1.0H0.19O0.81
155475,Sm1Fe1As1H0.34O0.64,"SmFeAs(O,H)",oxypnictide,51.8,3.8974,,8.4324,PRB084024521,Sm,1.0,Fe,1.0,As,1.0,H,0.34,,,,,,,,,,,O,0.64,,Sm1.0Fe1.0As1.0H0.34O0.64
155476,Sm1Fe1As1H0.43O0.57,"SmFeAs(O,H)",oxypnictide,45.0,3.8838,,8.4053,PRB084024521,Sm,1.0,Fe,1.0,As,1.0,H,0.43,,,,,,,,,,,O,0.57,,Sm1.0Fe1.0As1.0H0.43O0.57
155477,Sm1Fe1As1F0.06O0.94,"SmFeAs(O,H)",oxypnictide,36.4,,,,PRB084024521,Sm,1.0,Fe,1.0,As,1.0,F,0.06,,,,,,,,,,,O,0.94,,Sm1.0Fe1.0As1.0F0.06O0.94
155494,Y1Ba2Cu3O6.5,YBa2Cu3O6+z,Y123,54.1,,,,PRB073180505,Y,1.0,Ba,2.0,Cu,3.0,,,,,,,,,,,,,O,6.5,6.5,Y1.0Ba2.0Cu3.0O6.5
155495,Y1Ba2Cu3O6.67,YBa2Cu3O6+z,Y123,60.6,,,,PRB073180505,Y,1.0,Ba,2.0,Cu,3.0,,,,,,,,,,,,,O,6.67,6.67,Y1.0Ba2.0Cu3.0O6.67
155496,Y1Ba2Cu3O6.75,YBa2Cu3O6+z,Y123,75.3,,,,PRB073180505,Y,1.0,Ba,2.0,Cu,3.0,,,,,,,,,,,,,O,6.75,6.75,Y1.0Ba2.0Cu3.0O6.75
155509,Sm1Fe1As1H0.22O0.78,SmFeAsO1-xHx,oxypnictide,50.0,3.9112,,8.4412,PRB089094510,Sm,1.0,Fe,1.0,As,1.0,H,0.22,,,,,,,,,,,O,0.78,,Sm1.0Fe1.0As1.0H0.22O0.78
155510,Sm1Fe1As0.77P0.23H0.11O0.89,SmFeAs1-yPyO1-xHx,oxypnictide,28.0,3.9143,,8.3763,PRB089094510,Sm,1.0,Fe,1.0,As,0.77,P,0.23,H,0.11,,,,,,,,,O,0.89,,Sm1.0Fe1.0As0.77P0.23H0.11O0.89
