num :,composition :,str3 :,tc :,lata :,latb :,latc :,refno :,author :,title :,journal :,year :,lata* :,layers :,types :,cu-o_a :,cid :,cu-o_p :
9772,Nd1.0Ba2.0Cu3.0O7.0,RE123,92.81,3.8719,3.9215,11.7399,PHC3390245,"M.Andersson, M.Valldor, O.Rapp, P.Lundqvist, S. R. Ghorbani,",Thermoelectric power and resistivity of Nd1-xCaxBa2Cu3Oy and Nd1-xLaxBa2Cu3Oy,"Physica C, 339(2000)245",2000.0,3.8719,Two,RE,2.3194704182455634,0.0,1.93595
9773,Nd0.97Ca0.03Ba2.0Cu3.0O7.0,RE123,90.36,3.8674,3.917,11.7423,PHC3390245,"M.Andersson, M.Valldor, O.Rapp, P.Lundqvist, S. R. Ghorbani,",Thermoelectric power and resistivity of Nd1-xCaxBa2Cu3Oy and Nd1-xLaxBa2Cu3Oy,"Physica C, 339(2000)245",2000.0,3.8674,Two,RE,2.3303490362463815,0.0,1.9337
9776,Nd0.95La0.05Ba2.0Cu3.0O7.0,RE123,91.78,3.8686,3.9174,11.7441,PHC3390245,"M.Andersson, M.Valldor, O.Rapp, P.Lundqvist, S. R. Ghorbani,",Thermoelectric power and resistivity of Nd1-xCaxBa2Cu3Oy and Nd1-xLaxBa2Cu3Oy,"Physica C, 339(2000)245",2000.0,3.8686,Two,RE,2.3295133960088514,0.0,1.9343
9777,Nd0.9La0.1Ba2.0Cu3.0O7.0,RE123,91.09,3.868,3.9092,11.754,PHC3390245,"M.Andersson, M.Valldor, O.Rapp, P.Lundqvist, S. R. Ghorbani,",Thermoelectric power and resistivity of Nd1-xCaxBa2Cu3Oy and Nd1-xLaxBa2Cu3Oy,"Physica C, 339(2000)245",2000.0,3.868,Two,RE,2.3390728166509875,0.0,1.934
9863,Tl0.5Pb0.5Sr1.84Nd0.16Ca1.0Cu2.0O7.0,Tl1212,102.0,3.815,,12.112,JJP0400262,"Li-Ru Sung, Shin-Hau Huang, Wun-Hsin Lee, Yeong-Der Yao,",Magnetic-Relaxation Behavior of (Tl0.5Pb0.5)(Sr1.84Nd0.16)CaCu2O7 Superconducting Material,"Jpn. J. Appl. Phys. , 40 (2001) L262-L265",2001.0,3.815,Two,Tl,2.406049648325382,0.0,1.9075
10424,Tl1.0Ba1.2La0.8Cu1.0O5.0,Tl1201,45.0,3.84,,9.114,PR05006402,"Takashi Manako, Yoshimi kubo,",Preparation and transport properties of single-phase TlBa1+xLa1-XCuO5(0,Phys.Rev.B.50 (1994) 6402,1994.0,3.84,One,Tl,2.467487089242593,1.0,1.92
10506,Y1.0Ba2.0Cu4.0O8.0,Y124,80.5,3.83,3.87,27.16,PR05010265,"A.V.Narlikar, Ratan Lal, S.K.Agarwal, S.P.Pandey, V.P.S.Awana,","Superconductivity of the Pr-doped(Y,Eu) Ba2Cu4O8 system","Phys.Rev.B,50 (1994) 10265",1994.0,3.83,Two,RE,2.3261593620339296,1.0,1.915
10520,Tl1.0Ba1.3La0.7Cu1.0O5.0,Tl1201,40.0,3.844,,9.1,PR05010238,"A.Sundaresan, C.S.Gopinath, L.C.Gupta, M.Sharon, R.Pinto, R.Vijayaraghavan, S.Subramaian,","Superconductivity and valence state of Tl in TlA2-XLaxCuO5 and TlA2Ca1-xGdxCu2O7(A=Ba,Sr)","Phys.Rev.B,50 (1994) 10238",1994.0,3.844,One,Tl,2.477550760030108,1.0,1.922
10525,Tl1.0Sr1.0La1.0Cu1.0O8.0,Tl1201,32.0,3.779,,8.863999999999997,PR05010238,"A.Sundaresan, C.S.Gopinath, L.C.Gupta, M.Sharon, R.Pinto, R.Vijayaraghavan, S.Subramaian,","Superconductivity and valence state of Tl in TlA2-XLaxCuO5 and TlA2Ca1-xGdxCu2O7(A=Ba,Sr)","Phys.Rev.B,50 (1994) 10238",1994.0,3.779,One,Tl,2.336492900736208,0.0,1.8895
11015,Hg1.0Ba2.0Ca2.0Cu3.0O8.27,Hg1223,135.0,3.848,,15.778,PR05115407,"B.A. Hunter, D.G. Hinks, J.D. Jorgensen, J.L. Wagner,",Structure and superconductivity of HgBa2Ca2Cu3O8+z,"Phys.Rev.B,51(1995)15407",1995.0,3.848,Three,Hg,2.7745566133261876,0.0,1.924
