num :,composition :,str3 :,tc :,lata :,latb :,latc :,refno :,lata ,layers :,cu-o_a :,cu-o_p :
243,Y1.0Ba2.0Cu3.0O6.9,Y123,88.0,3.823,3.888,11.665,SSC0650585,3.8555,Two,2.2893305078161794,1.9115
245,Y0.99Ba1.99Cu2.847Li0.153O6.4,Y123,62.0,3.826,3.889,11.667,SSC0650585,3.8575,Two,2.2913787653129196,1.913
246,Y1.01Ba2.03Cu2.8080000000000003Li0.192O6.6,Y123,33.0,3.8289999999999997,3.884,11.68,SSC0650585,3.8565,Two,2.304692439041726,1.9144999999999999
272,La1.85Sr0.15Cu1.0O4.0,T,34.0,3.7760000000000002,,13.22,PRB0375132,3.7760000000000002,One,2.4077379839658155,1.8880000000000001
273,La1.85Sr0.15Cu0.995Ni0.005O4.0,T,30.5,3.7760000000000002,,13.205,PRB0375132,3.7760000000000002,One,2.403000271264646,1.8880000000000001
274,La1.85Sr0.15Cu0.99Ni0.01O4.0,T,30.5,3.7769999999999997,,13.22,PRB0375132,3.7769999999999997,One,2.4077379839658155,1.8884999999999998
275,La1.85Sr0.15Cu0.98Ni0.02O4.0,T,23.0,3.785,,13.225,PRB0375132,3.785,One,2.4093172215328718,1.8925
293,La1.85Sr0.15Cu0.925Zn0.025O4.0,T,15.0,3.7769999999999997,,13.220999999999998,PRB0368393,3.7769999999999997,One,2.408053831479226,1.8884999999999998
296,Y1.0Ba2.0Cu2.841Co0.159O6.8,Y123,54.0,3.862,,11.664000000000001,SSC0650585,3.862,Two,2.288306379067812,1.931
297,Y1.0Ba2.01Cu2.806Cr0.194O7.3,Y123,62.0,3.8310000000000004,3.8939999999999997,11.686,SSC0650585,3.8625,Two,2.3108372115319447,1.9155000000000002
299,Y1.0Ba2.0Cu2.98Fe0.02O6.93,Y123,91.8,3.819,3.884,11.667,PRB0377458,3.8515,Two,2.2913787653129196,1.9095
300,Y1.0Ba2.0Cu2.95Fe0.05O6.92,Y123,91.8,3.83,3.878,11.665999999999999,PRB0377458,3.8539999999999996,Two,2.2903546365645484,1.915
301,Y1.0Ba2.0Cu2.9Fe0.1O6.92,Y123,76.0,3.86,,11.683,PRB0377458,3.86,Two,2.307764825286835,1.93
302,Y1.0Ba2.0Cu2.8Fe0.2O6.93,Y123,49.0,3.864,,11.684000000000001,PRB0377458,3.864,Two,2.3087889540352062,1.932
304,Y1.0Ba2.0Cu2.6Fe0.4O7.0,Y123,31.0,3.8710000000000004,,11.674000000000001,PRB0377458,3.8710000000000004,Two,2.298547666551509,1.9355000000000002
307,Y1.0Ba2.0Cu2.95Al0.05O6.93,Y123,91.0,3.835,3.883,11.682,PRB0377458,3.859,Two,2.306740696538466,1.9175
308,Y1.0Ba2.0Cu2.9Al0.1O6.93,Y123,92.0,3.86,3.866,11.675,PRB0377458,3.863,Two,2.299571795299878,1.93
309,Y1.0Ba2.0Cu2.8Al0.2O6.91,Y123,85.0,3.862,,11.673,PRB0377458,3.862,Two,2.297523537803138,1.931
310,Y1.0Ba2.0Cu2.7Al0.3O6.99,Y123,73.0,3.863,,11.672,PRB0377458,3.863,Two,2.296499409054769,1.9315
311,Y1.0Ba2.0Cu2.6Al0.4O7.0,Y123,42.0,3.863,,11.671,PRB0377458,3.863,Two,2.2954752803063982,1.9315
312,Y1.0Ba2.0Cu2.9Ni0.1O6.87,Y123,55.0,3.8289999999999997,3.886,11.637,PRB0377458,3.8575,Two,2.2606549028618286,1.9144999999999999
313,Y1.0Ba2.0Cu2.8Ni0.2O6.82,Y123,45.0,3.835,3.8560000000000003,11.657,PRB0377458,3.8455,Two,2.2811374778292226,1.9175
314,Y1.0Ba2.0Cu2.98Co0.02O6.9,Y123,93.4,3.82,3.883,11.667,PRB0377458,3.8515,Two,2.2913787653129196,1.91
315,Y1.0Ba2.0Cu2.95Co0.05O6.92,Y123,94.3,3.8289999999999997,3.88,11.67,PRB0377458,3.8545,Two,2.294451151558029,1.9144999999999999
316,Y1.0Ba2.0Cu2.9Co0.1O6.82,Y123,73.0,3.861,,11.687000000000001,PRB0377458,3.861,Two,2.3118613402803154,1.9305
317,Y1.0Ba2.0Cu2.8Co0.2O6.83,Y123,53.0,3.8680000000000003,,11.684000000000001,PRB0377458,3.8680000000000003,Two,2.3087889540352062,1.9340000000000002
318,Y1.0Ba2.0Cu2.7Co0.3O6.88,Y123,22.0,3.872,,11.68,PRB0377458,3.872,Two,2.304692439041726,1.936
323,Y1.0Ba2.0Cu2.7Ni0.3O6.97,Y123,40.0,3.833,3.8489999999999998,11.662,PRB0377458,3.841,Two,2.286258121571072,1.9165
324,Y1.0Ba2.0Cu2.9Zn0.1O6.81,Y123,55.0,3.819,3.888,11.682,PRB0377458,3.8535,Two,2.306740696538466,1.9095
325,Y1.0Ba2.0Cu2.8Zn0.2O6.79,Y123,45.0,3.82,3.889,11.68,PRB0377458,3.8545,Two,2.304692439041726,1.91
326,Y1.0Ba2.0Cu2.7Zn0.3O6.74,Y123,45.0,3.82,3.8930000000000002,11.68,PRB0377458,3.8565,Two,2.304692439041726,1.91
327,Y1.0Ba2.0Cu3.0O6.85,Y123,92.0,3.815,3.8819999999999997,11.67,PRB0377458,3.8485,Two,2.294451151558029,1.9075
352,Er1.0Ba2.0Cu3.0O7.0,RE123,90.0,3.8110000000000004,3.878,11.645999999999999,JJP0262091,3.8445,Two,2.3299484376184734,1.9055000000000002
353,Er0.75Yb0.25Ba2.0Cu3.0O7.0,RE123,87.6,3.8169999999999997,3.887,11.659,JJP0262091,3.852,Two,2.31844539830473,1.9084999999999999
354,Er0.62Yb0.38Ba2.0Cu3.0O7.0,RE123,88.3,3.815,3.883,11.675,JJP0262091,3.8489999999999998,Two,2.304287811457048,1.9075
355,Er0.5Yb0.5Ba2.0Cu3.0O7.0,RE123,89.3,3.812,3.883,11.674000000000001,JJP0262091,3.8475,Two,2.305172660635028,1.906
356,Er0.37Yb0.63Ba2.0Cu3.0O7.0,RE123,87.8,3.8089999999999997,3.8789999999999996,11.664000000000001,JJP0262091,3.844,Two,2.3140211524148286,1.9044999999999999
357,Er0.25Yb0.75Ba2.0Cu3.0O7.0,RE123,86.3,3.812,3.8789999999999996,11.636,JJP0262091,3.8455,Two,2.3387969293982747,1.906
358,Yb1.0Ba2.0Cu3.0O7.0,RE123,88.5,3.8110000000000004,3.8710000000000004,11.635,JJP0262091,3.841,Two,2.3396817785762543,1.9055000000000002
379,Y1.0Ba2.0Cu3.0O7.0,Y123,92.0,3.823,3.887,11.684000000000001,JJP0261997,3.855,Two,2.3087889540352062,1.9115
380,Y1.0Ba2.0Cu2.94Ga0.06O7.0,Y123,87.0,3.8480000000000003,3.8739999999999997,11.689,JJP0261997,3.861,Two,2.313909597777054,1.9240000000000002
381,Y1.0Ba2.0Cu2.85Ga0.15O7.0,Y123,75.0,3.855,3.863,11.689,JJP0261997,3.859,Two,2.313909597777054,1.9275
382,Y1.0Ba2.0Cu2.7Ga0.3O7.0,Y123,66.0,3.861,3.866,11.696,JJP0261997,3.8635,Two,2.3210784990156417,1.9305
417,Y1.0Ba2.0Cu3.0O7.0,Y123,92.5,3.83,3.89,11.67,JJP0261956,3.86,Two,2.294451151558029,1.915
418,Nd1.0Ba2.0Cu3.0O7.0,RE123,67.0,3.812,3.907,11.741,JJP0261956,3.8595,Two,2.2458877657103598,1.906
419,Sm1.0Ba2.0Cu3.0O7.0,RE123,76.0,3.858,3.9160000000000004,11.704,JJP0261956,3.887,Two,2.278627185295624,1.929
420,Eu1.0Ba2.0Cu3.0O7.0,RE123,92.0,3.84,3.9,11.704,JJP0261956,3.87,Two,2.278627185295624,1.92
421,Gd1.0Ba2.0Cu3.0O7.0,RE123,86.0,3.843,3.898,11.717,JJP0261956,3.8705,Two,2.2671241459818825,1.9215
422,Dy1.0Ba2.0Cu3.0O7.0,RE123,92.0,3.8289999999999997,3.895,11.68,JJP0261956,3.862,Two,2.299863565567148,1.9144999999999999
423,Ho1.0Ba2.0Cu3.0O7.0,RE123,91.0,3.824,3.89,11.664000000000001,JJP0261956,3.8569999999999998,Two,2.3140211524148286,1.912
424,Er1.0Ba2.0Cu3.0O7.0,RE123,91.0,3.8289999999999997,3.884,11.652000000000001,JJP0261956,3.8565,Two,2.324639342550591,1.9144999999999999
425,Tm1.0Ba2.0Cu3.0O7.0,RE123,92.0,3.82,3.88,11.66,JJP0261956,3.85,Two,2.3175605491267506,1.91
428,Y1.0Ba2.0Cu3.0HO7.0,Y123,90.0,3.822,3.892,11.67,JJP0271104,3.8569999999999998,Two,2.294451151558029,1.911
429,Y1.0Ba2.0Cu3.0HO7.0,Y123,43.05,3.862,,11.76,JJP0271104,3.862,Two,2.386622738911304,1.931
441,Nd1.0Ba2.0Cu3.0O7.0,RE123,88.0,3.873,3.906,11.73,PRB0375820,3.8895,Two,2.2556211066681406,1.9365
442,Nd1.0Ba2.0Cu3.0S1.0O6.0,RE123,69.0,3.8789999999999996,,11.69,PRB0375820,3.8789999999999996,Two,2.291015073787347,1.9394999999999998
443,Nd1.0Ba2.0Cu3.0S1.0O5.0,RE123,56.0,3.897,,11.69,PRB0375820,3.897,Two,2.291015073787347,1.9485
444,Eu1.0Ba2.0Cu3.0O7.0,RE123,92.0,3.821,3.884,11.61,PRB0375820,3.8525,Two,2.361803008025758,1.9105
445,Eu1.0Ba2.0Cu3.0S1.0O6.0,RE123,85.0,3.884,,11.65,PRB0375820,3.884,Two,2.326409040906552,1.942
446,Gd1.0Ba2.0Cu3.0O7.0,RE123,92.0,3.844,3.897,11.7,PRB0375820,3.8705,Two,2.282166582007546,1.922
447,Gd1.0Ba2.0Cu3.0S1.0O6.0,RE123,92.0,3.887,3.911,11.72,PRB0375820,3.8989999999999996,Two,2.264469598447942,1.9435
477,Y1.0Ba2.0Cu3.0O6.9,Y123,91.0,3.846,3.883,11.661,PRB0380889,3.8645,Two,2.2852339928227012,1.923
478,Bi2.2Sr2.0Ca0.8Cu2.0O8.0,Bi2212,87.0,3.828276113343968,5.4179999999999975,30.89,PRB0380893,5.415999999999999,Two,,1.914138056671984
479,Y1.0Ba2.0Cu2.5Ni0.5O7.0,Y123,52.3,3.82,3.883,11.647,PRB0380893,3.8515,Two,2.2708961903455256,1.91
481,La2.8Ba3.2Cu6.0O14.07,RE123,13.0,3.9019999999999997,,11.713,PHF0180095,3.9019999999999997,Two,2.270663542693804,1.9509999999999998
482,La2.6Ba3.4Cu6.0O14.06,RE123,26.0,3.903,,11.714,PHF0180095,3.903,Two,2.269778693515823,1.9515
483,La2.4Ba3.6Cu6.0O14.01,RE123,39.0,3.904,,11.738,PHF0180095,3.904,Two,2.2485423132443003,1.952
484,La2.2Ba3.8Cu6.0O13.86,RE123,52.0,3.905,,11.758,PHF0180095,3.905,Two,2.230845329684698,1.9525
485,La2.0Ba4.0Cu6.0O13.8,RE123,65.0,3.909,,11.78,PHF0180095,3.909,Two,2.2113786477691346,1.9545
487,Y1.0La1.8Ba3.2Cu6.0O14.49,Y123,41.9,3.875,,11.645,PHF0180095,3.875,Two,2.2688479328487854,1.9375
488,Y1.0La1.6Ba3.4Cu6.0O14.38,Y123,53.1,3.844,3.877,11.673,PHF0180095,3.8605,Two,2.297523537803138,1.922
489,Y1.0La1.4Ba3.6Cu6.0O14.2,Y123,64.0,3.873,3.8819999999999997,11.668,PHF0180095,3.8775,Two,2.2924028940612886,1.9365
490,Y1.0La1.2Ba3.8Cu6.0O14.07,Y123,70.4,3.852,3.861,11.682,PHF0180095,3.8565,Two,2.306740696538466,1.926
491,Y1.0La1.0Ba4.0Cu6.0O13.95,Y123,72.2,3.853,3.863,11.687000000000001,PHF0180095,3.858,Two,2.3118613402803154,1.9265
497,Y2.0La1.0Ba3.0Cu6.0O14.17,Y123,28.0,3.84,3.8489999999999998,11.569,PHF0180095,3.8445,Two,2.1910141479726875,1.92
498,Y2.0La0.8Ba3.2Cu6.0O14.2,Y123,46.0,3.8480000000000003,,11.567,PHF0180095,3.8480000000000003,Two,2.1889658904759473,1.9240000000000002
499,Y2.0La0.6Ba3.4Cu6.0O14.02,Y123,60.0,3.87,,11.647,PHF0180095,3.87,Two,2.2708961903455256,1.935
500,Y2.0La0.4Ba3.6Cu6.0O13.91,Y123,78.0,3.812,3.8739999999999997,11.624,PHF0180095,3.843,Two,2.2473412291330224,1.906
501,Y2.0La0.2Ba3.8Cu6.0O13.92,Y123,93.0,3.81,3.8760000000000003,11.64,PHF0180095,3.843,Two,2.2637272891069378,1.905
504,Y2.0Ba4.0Cu6.0O13.9,Y123,93.0,3.8169999999999997,3.884,11.665999999999999,PHF0180095,3.8505,Two,2.2903546365645484,1.9084999999999999
505,Y1.0Ba2.0Cu3.0O6.94,Y123,97.0,3.824,3.89,11.679,PRB0373734,3.8569999999999998,Two,2.303668310293357,1.912
506,Y1.0Ba1.975La0.025Cu3.0O6.95,Y123,99.0,3.82,3.889,11.67,PRB0373734,3.8545,Two,2.294451151558029,1.91
507,Y1.0Ba1.95La0.05Cu3.0O6.9,Y123,99.0,3.821,3.889,11.672,PRB0373734,3.855,Two,2.296499409054769,1.9105
508,Y1.0Ba1.925La0.075Cu3.0O6.9,Y123,99.0,3.827,3.885,11.659,PRB0373734,3.8560000000000003,Two,2.283185735325963,1.9135
509,Y1.0Ba1.9La0.1Cu3.0O6.9,Y123,95.0,3.83,3.883,11.652999999999999,PRB0373734,3.8565,Two,2.277040962835742,1.915
510,Y1.0Ba1.8La0.2Cu3.0O6.95,Y123,78.0,3.839,3.872,11.618,PRB0373734,3.8555,Two,2.2411964566428035,1.9195
511,Y1.0Ba1.7La0.3Cu3.0O7.0,Y123,67.0,3.858,3.859,11.582,PRB0373734,3.8585,Two,2.2043278217014937,1.929
512,Y1.0Ba1.6La0.4Cu3.0O7.05,Y123,52.0,3.858,3.858,11.58,PRB0373734,3.858,Two,2.202279564204754,1.929
513,Y1.0Ba1.5La0.5Cu3.0O7.08,Y123,38.0,3.858,,11.572000000000001,PRB0373734,3.858,Two,2.1940865342177966,1.929
536,Y1.0Ba2.0Cu3.0O7.0,Y123,92.0,3.822,3.892,11.674000000000001,PRB0382432,3.8569999999999998,Two,2.298547666551509,1.911
537,Y1.0Ba2.0Cu2.97Co0.03O6.96,Y123,92.0,3.824,3.889,11.677,PRB0382432,3.8565,Two,2.3016200527966166,1.912
539,Y1.0Ba2.0Cu2.85Co0.15O7.03,Y123,65.0,3.8689999999999998,,11.700999999999999,PRB0382432,3.8689999999999998,Two,2.3261991427574893,1.9344999999999999
540,Y1.0Ba2.0Cu2.775Co0.225O6.99,Y123,58.0,3.873,,11.647,PRB0382432,3.873,Two,2.2708961903455256,1.9365
541,Y1.0Ba2.0Cu2.7Co0.3O7.11,Y123,36.0,3.878,,11.648,PRB0382432,3.878,Two,2.2719203190938946,1.939
544,Y1.0Ba2.0Cu2.94Ni0.06O7.01,Y123,85.0,3.835,3.897,11.686,PRB0382432,3.866,Two,2.3108372115319447,1.9175
545,Y1.0Ba2.0Cu2.85Ni0.15O6.84,Y123,75.0,3.832,3.8939999999999997,11.684000000000001,PRB0382432,3.863,Two,2.3087889540352062,1.916
546,Y1.0Ba2.0Cu2.7Ni0.3O6.88,Y123,73.0,3.827,3.889,11.671,PRB0382432,3.858,Two,2.2954752803063982,1.9135
547,Y1.0Ba2.0Cu2.4Ni0.6O6.94,Y123,66.0,3.822,3.88,11.61,PRB0382432,3.8510000000000004,Two,2.233003426655845,1.911
562,La1.2Ba1.8Cu3.0O6.98,RE123,80.0,3.895,3.927,11.777999999999999,PRB0357129,3.911,Two,2.2131483461250956,1.9475
573,La1.9Ba0.1Cu1.0O4.0,T,26.9,3.785,,13.244000000000002,JJP0271449,3.785,One,2.415318324287687,1.8925
577,La1.9Sr0.1Cu1.0O3.98,T,29.5,3.783,,13.209000000000001,JJP0271449,3.783,One,2.4042636613182915,1.8915
579,La1.85Sr0.15Cu1.0O3.98,T,37.9,3.773,,13.224,JJP0271449,3.773,One,2.4090013740194607,1.8865
586,La1.9Ca0.1Cu1.0O3.967,T,20.0,3.78,,13.158,JJP0271449,3.78,One,2.3881554381343144,1.89
587,La1.85Ca0.15Cu1.0O3.942,T,19.0,3.779,,13.165999999999999,JJP0271449,3.779,One,2.3906822182416048,1.8895
634,Y1.0Ba1.48Sr0.52Cu3.0O7.0,Y123,95.0,3.79,3.84,11.52,PRB0392788,3.815,Two,2.1408318393025696,1.895
635,Y1.0Ba1.48Sr0.52Cu3.0O7.0,Y123,85.0,3.812,3.862,11.585999999999999,PRB0392788,3.837,Two,2.2084243366949705,1.906
637,Sm1.0Ba2.0Cu3.0O6.85,RE123,92.8,3.858,3.909,11.754000000000001,JJP0272274,3.8835,Two,2.2343847263966166,1.929
638,Sm1.05Ba1.95Cu3.0O6.87,RE123,89.75,3.853,3.903,11.743,JJP0272274,3.878,Two,2.2441180673543992,1.9265
639,Sm1.15Ba1.85Cu3.0O6.95,RE123,77.3,3.859,3.9019999999999997,11.741,JJP0272274,3.8805,Two,2.2458877657103598,1.9295
640,Sm1.2Ba1.8Cu3.0O7.01,RE123,56.5,3.87,3.88,11.658,JJP0272274,3.875,Two,2.3193302474827115,1.935
697,Y1.0Ba2.0Cu3.0O6.9,Y123,91.0,3.8169999999999997,3.884,11.671,PRB0399069,3.8505,Two,2.2954752803063982,1.9084999999999999
700,Y1.0Ba2.0Cu3.0O6.55,Y123,89.0,3.82,3.89,11.714,PRB0399069,3.855,Two,2.3395128164862973,1.91
714,Tl1.0Sr2.0Ca0.5Sm0.5Cu2.0O6.75,Tl1212,37.6,3.8169999999999997,,12.054,SSC0700661,3.8169999999999997,Two,,1.9084999999999999
719,Tl1.0Ba1.1La0.9Cu1.0O5.0,Tl1201,39.6,3.84,,9.054,PHC1580143,3.84,One,,1.92
720,Tl1.0Ba1.2La0.8Cu1.0O5.0,Tl1201,41.1,3.8339999999999996,,9.107000000000001,PHC1580143,3.8339999999999996,One,,1.9169999999999998
724,Y1.0Ba2.0Cu3.0O6.86,Y123,91.0,3.818,3.891,11.674000000000001,PHC1530026,3.8545,Two,2.298547666551509,1.909
754,La1.0Ba1.0Ca1.0Cu3.0O6.98,RE123,76.35,3.87,,11.61,PR0399074,3.87,Two,2.361803008025758,1.935
757,Er1.0Ba2.0Cu3.0O6.15,RE123,35.0,3.839,3.8680000000000003,11.762,PRB0399099,3.8535,Two,2.2273059329727762,1.9195
758,Er1.0Ba2.0Cu3.0O6.34,RE123,20.0,3.8360000000000003,3.864,11.754000000000001,PRB0399099,3.85,Two,2.2343847263966166,1.9180000000000001
759,Er1.0Ba2.0Cu3.0O6.31,RE123,55.0,3.822,3.8760000000000003,11.713,PRB0399099,3.8489999999999998,Two,2.270663542693804,1.911
760,Er1.0Ba2.0Cu3.0O6.67,RE123,85.0,3.812,3.89,11.67,PRB0399099,3.8510000000000004,Two,2.3087120573469493,1.906
761,Er1.0Ba2.0Cu3.0O6.91,RE123,92.0,3.8139999999999996,3.887,11.661,PRB0399099,3.8505,Two,2.316675699948771,1.9069999999999998
784,Y1.0Ba2.0Cu3.0O6.9620000000000015,Y123,92.2,3.82,3.886,11.68,PHC1570083,3.853,Two,2.304692439041726,1.91
786,Y1.0Ba1.92La0.08Cu3.0O6.965,Y123,92.6,3.8169999999999997,3.887,11.664000000000001,PHC1570083,3.852,Two,2.288306379067812,1.9084999999999999
787,Y1.0Ba1.9La0.1Cu3.0O6.975,Y123,93.9,3.8160000000000003,3.887,11.664000000000001,PHC1570083,3.8515,Two,2.288306379067812,1.9080000000000001
788,Y1.0Ba1.86La0.14Cu3.0O6.98,Y123,89.4,3.818,3.887,11.651,PHC1570083,3.8525,Two,2.2749927053390038,1.909
789,Y1.0Ba1.8La0.2Cu3.0O7.013,Y123,80.5,3.821,3.886,11.642999999999999,PHC1570083,3.8535,Two,2.266799675352045,1.9105
790,Y1.0Ba1.76La0.24Cu3.0O7.024,Y123,73.4,3.823,3.883,11.636,PHC1570083,3.853,Two,2.2596307741134574,1.9115
791,Y1.0Ba1.7La0.3Cu3.0O7.059,Y123,61.4,3.8369999999999997,3.8689999999999998,11.618,PHC1570083,3.853,Two,2.2411964566428035,1.9184999999999999
792,Y1.0Ba1.66La0.34Cu3.0O7.073,Y123,56.0,3.8510000000000004,3.859,11.597000000000001,PHC1570083,3.855,Two,2.2196897529270405,1.9255000000000002
793,Y1.0Ba1.6La0.4Cu3.0O7.0829999999999975,Y123,49.4,3.855,,11.581,PHC1570083,3.855,Two,2.203303692953123,1.9275
794,Y1.0Ba1.54La0.46Cu3.0O7.1179999999999986,Y123,44.1,3.8560000000000003,,11.565999999999999,PHC1570083,3.8560000000000003,Two,2.1879417617275765,1.9280000000000002
