,col_id :,str3 :,lata :,latb :,latc :,cu-o_a :,cu-o_p :,d_la :
882,75682.0,RE123,3.8732,3.9149,11.7397,2.2657,1.9519,
883,151745.0,RE123,3.8602,3.9188,11.7368,2.2499,1.9485,
884,291032.0,RE123,3.8897,3.8897,11.6222,2.2134,1.9582,
885,41364.0,RE123,3.8259,3.8861,11.7197,2.3544,1.9205,
886,89390.0,RE123,3.8334,3.8334,11.734,2.4317,1.9167,
887,246626.0,RE123,3.8446,3.8923,11.68,2.2156,1.9342,
888,67083.0,RE123,3.9035,3.9035,11.8164,2.3573,1.9517,
889,68396.0,Tl2212,3.8559,3.8559,29.4199,2.7036,1.9281,
890,72235.0,Tl2212,3.86049,3.86049,29.33734,2.6462,1.9319,
891,65325.0,Tl2212,3.8558,3.8558,29.2596,2.6216,1.929,
892,75703.0,Tl2212,3.85549,3.85549,29.36819,2.6901,1.9281,
893,75702.0,Tl2212,3.8565,3.8565,29.3546,2.6888,1.9288,
894,65323.0,Tl2212,3.852,3.852,29.21,2.8158,1.926,
895,65324.0,Tl2212,3.847,3.847,29.22,2.8168,1.9251,
896,78100.0,Tl2212,3.85582,3.85582,29.40889,2.7056,1.9282,
897,72234.0,Tl2212,3.85972,3.85972,29.293,2.6061,1.932,
898,75704.0,Tl2212,3.85618,3.85618,29.33939,2.6904,1.9285,
899,68543.0,Tl2212,3.8549,3.8549,29.388,2.7066,1.9274,
900,72236.0,Tl2212,3.8604,3.8604,29.33717,2.6558,1.9318,
901,78101.0,Tl2212,3.85385,3.85385,29.31689,2.6795,1.9275,
902,74125.0,RE124,3.84891,3.87549,27.23726,2.2721,1.9399,
903,74127.0,RE124,3.83716,3.87031,27.20901,2.2836,1.9353,
904,75850.0,RE124,3.8853,3.9016,27.308,2.1546,1.9578,
905,75686.0,RE124,3.8305,3.8645,27.212,2.2885,1.9301,
906,72230.0,RE124,3.805,3.851,27.076,2.1498,1.9297,
907,75687.0,RE124,3.8357,3.8668,27.221,2.2892,1.9334,
908,74126.0,RE124,3.84305,3.87304,27.2269,2.2734,1.9372,
909,75688.0,RE124,3.8411,3.8694,27.231,2.2656,1.9354,
910,90757.0,RE124,3.8901,3.9041,27.3219,2.0422000000000002,1.9517000000000002,
911,67642.0,RE124,3.8351,3.8672,27.207,2.318,1.9314,
912,87940.0,RE124,3.8901,3.9041,27.3219,2.0422000000000002,1.9517000000000002,
913,75815.0,RE124,3.8859,3.9031,27.32059,2.2238,1.9598,
914,87033.0,RE124,3.8834,3.9026,27.308,2.2119,1.9546,
915,90748.0,RE124,3.8837,3.90269,27.293,2.2336,1.9552,
916,74120.0,Bi2201,5.413,5.423,24.088,2.4103,1.9161,
917,74036.0,Bi2201,5.4071,5.4895,24.549,2.5491,1.9263,
918,66300.0,Bi2201,5.49,28.02,24.84,2.48395,1.9871500000000002,
919,71206.0,Bi2201,5.3671,33.97189,24.07219,2.3515800000000002,1.88075,
920,79254.0,Bi2201,5.357,5.374,23.832,2.1015,1.9768,
921,71910.0,Bi2201,5.3791,5.3811,24.589,2.477,1.9026,
922,73654.0,Bi2201,5.4028,5.4745,24.515,2.373,1.9228,
923,68947.0,Bi2201,5.3312,5.3686,24.365,2.4897,1.9937,
924,68947.0,Bi2201,24.365,5.3686,5.3312,2.4897,1.9937,
925,63216.0,Bi2201,5.3826,5.3761,24.384,2.578,1.9118,
926,74119.0,Bi2201,5.384,5.4,24.172,2.3215,1.9283,
927,79061.0,Bi2201,5.4015,5.3781,24.501,2.4979,1.9245,
928,67426.0,Bi2201,5.362,5.374,24.622,2.5885,1.9004,
929,74121.0,Bi2201,5.439,5.447,24.055,2.5054,1.9281,
930,74118.0,Bi2201,5.388,5.398,24.399,2.5405,1.9255,
931,69883.0,Bi2201,5.2757,5.3797,24.558,2.5703,1.8846500000000002,
932,41961.0,Tl2201,3.86628,3.86628,23.15929,2.7075,1.9331,
933,68395.0,Tl2201,3.866,3.866,23.239,2.7143,1.933,
934,79040.0,Tl2201,3.8717,3.8717,23.224,2.3954750000000002,1.9358,
935,69304.0,Tl2201,3.86248,3.86248,23.2248,2.3563,1.9574,
936,290312.0,Tl2201,3.854,3.854,23.14,2.4846999999999997,1.9347,
937,41960.0,Tl2201,3.86726,3.86726,23.23399,2.7202,1.9336,
938,290310.0,Tl2201,3.863,3.863,23.141,2.48556,1.9392,
939,71743.0,Tl2201,3.8686,3.8686,23.259,2.5496250000000003,1.8839,
940,65326.0,Tl2201,3.85944,3.85944,23.1272,2.6365,1.9297,
941,71752.0,Tl2201,3.8608,3.8608,23.1332,2.265675,1.9304,
942,290311.0,Tl2201,3.854,3.854,23.141,2.48276,1.9348,
943,290309.0,Tl2201,3.869,3.869,23.149,2.47342,1.9422,
944,68582.0,Tl2201,3.847,3.847,23.23,2.0907,1.9235,
945,69302.0,Tl2201,3.86276,3.86276,23.1848,2.35568,1.95805,
946,78616.0,Tl2201,3.8699,3.8699,23.2491,2.301471428571429,1.9224999999999999,
