num :,composition :,str3 :,tc :,lata :,latb :,latc :,refno :,author :,title :,journal :,year :,lata* :
239,Y1.01Ba2.01Cu2.906Ni0.094O6.7,Y123,71.0,3.819,3.886,11.662,SSC0650585,"C.PAULSEN, J.L.THOLENCE, P.STROBEL,",SUPERCONDUCTING PROPERTIES OF SUBSTITUTED Y(1)BA(2)CU(3(1-X))M(3X)O(7-Z),"SOLID STATE COMMUN.,65(1988)585",1988.0,3.819
240,Y1.0Ba2.0Cu2.697Mn0.303O6.9,Y123,63.0,3.8280000000000003,3.889,11.673,SSC0650585,"C.PAULSEN, J.L.THOLENCE, P.STROBEL,",SUPERCONDUCTING PROPERTIES OF SUBSTITUTED Y(1)BA(2)CU(3(1-X))M(3X)O(7-Z),"SOLID STATE COMMUN.,65(1988)585",1988.0,3.8280000000000003
241,Y1.0Ba2.0Cu2.844Fe0.156O7.0,Y123,57.0,3.863,,11.665,SSC0650585,"C.PAULSEN, J.L.THOLENCE, P.STROBEL,",SUPERCONDUCTING PROPERTIES OF SUBSTITUTED Y(1)BA(2)CU(3(1-X))M(3X)O(7-Z),"SOLID STATE COMMUN.,65(1988)585",1988.0,3.863
243,Y1.0Ba2.0Cu3.0O6.9,Y123,88.0,3.823,3.888,11.665,SSC0650585,"C.PAULSEN, J.L.THOLENCE, P.STROBEL,",SUPERCONDUCTING PROPERTIES OF SUBSTITUTED Y(1)BA(2)CU(3(1-X))M(3X)O(7-Z),"SOLID STATE COMMUN.,65(1988)585",1988.0,3.823
245,Y0.99Ba1.99Cu2.847Li0.153O6.4,Y123,62.0,3.826,3.889,11.667,SSC0650585,"C.PAULSEN, J.L.THOLENCE, P.STROBEL,",SUPERCONDUCTING PROPERTIES OF SUBSTITUTED Y(1)BA(2)CU(3(1-X))M(3X)O(7-Z),"SOLID STATE COMMUN.,65(1988)585",1988.0,3.826
246,Y1.01Ba2.03Cu2.8080000000000003Li0.192O6.6,Y123,33.0,3.8289999999999997,3.884,11.68,SSC0650585,"C.PAULSEN, J.L.THOLENCE, P.STROBEL,",SUPERCONDUCTING PROPERTIES OF SUBSTITUTED Y(1)BA(2)CU(3(1-X))M(3X)O(7-Z),"SOLID STATE COMMUN.,65(1988)585",1988.0,3.8289999999999997
272,La1.85Sr0.15Cu1.0O4.0,T,34.0,3.7760000000000002,,13.22,PRB0375132,"D.JEROME, H.J.SCHULZ, J.M.BASSAT, PH.ODIER, S.S.P.PARKIN, W.KANG,",EFFECTS OF NI-TO-CU SUBSTITUTION ON THE PROPERTIES OF THE HIGH-TC SUPERCONDUCTOR LA(1.85)SR(0.15)CU(1)O(4-Y),"PHYS.REV.B,37(1988)5132",1988.0,3.7760000000000002
273,La1.85Sr0.15Cu0.995Ni0.005O4.0,T,30.5,3.7760000000000002,,13.205,PRB0375132,"D.JEROME, H.J.SCHULZ, J.M.BASSAT, PH.ODIER, S.S.P.PARKIN, W.KANG,",EFFECTS OF NI-TO-CU SUBSTITUTION ON THE PROPERTIES OF THE HIGH-TC SUPERCONDUCTOR LA(1.85)SR(0.15)CU(1)O(4-Y),"PHYS.REV.B,37(1988)5132",1988.0,3.7760000000000002
274,La1.85Sr0.15Cu0.99Ni0.01O4.0,T,30.5,3.7769999999999997,,13.22,PRB0375132,"D.JEROME, H.J.SCHULZ, J.M.BASSAT, PH.ODIER, S.S.P.PARKIN, W.KANG,",EFFECTS OF NI-TO-CU SUBSTITUTION ON THE PROPERTIES OF THE HIGH-TC SUPERCONDUCTOR LA(1.85)SR(0.15)CU(1)O(4-Y),"PHYS.REV.B,37(1988)5132",1988.0,3.7769999999999997
275,La1.85Sr0.15Cu0.98Ni0.02O4.0,T,23.0,3.785,,13.225,PRB0375132,"D.JEROME, H.J.SCHULZ, J.M.BASSAT, PH.ODIER, S.S.P.PARKIN, W.KANG,",EFFECTS OF NI-TO-CU SUBSTITUTION ON THE PROPERTIES OF THE HIGH-TC SUPERCONDUCTOR LA(1.85)SR(0.15)CU(1)O(4-Y),"PHYS.REV.B,37(1988)5132",1988.0,3.785
